6	28614604	28617201	TE_01_003900531
19	45873364	45889975	TE_01_003900532
6	111477227	111485105	TE_01_003900533
17	8218064	8227613	TE_01_003900534
10	25047964	25062980	TE_01_003900535
15	94844088	94858522	TE_01_003900536
12	131340418	131352066	TE_01_003900538
8	38133258	38155305	TE_01_003900539
10	77969009	77984558	TE_01_003900540
1	212789548	212795153	TE_01_003900541
14	23005765	23008195	TE_01_003900542
12	51019622	51033947	TE_01_003900543
19	3982995	3990592	TE_01_003900544
20	399076	416754	TE_01_003900545
2	20576162	20580333	TE_01_003900546
8	102805419	102813664	TE_01_003900547
1	148333594	148335470	TE_01_003900548
1	150233502	150237377	TE_01_003900549
8	97643160	97647122	TE_01_003900550
19	48389268	48400759	TE_01_003900551
14	102550566	102553933	TE_01_003900552
14	101947424	101949760	TE_01_003900553
4	102866489	102870769	TE_01_003900554
2	27320677	27324446	TE_01_003900555
4	94518780	94537163	TE_01_003900556
12	6323392	6338672	TE_01_003900557
16	22190969	22218792	TE_01_003900558
17	16273812	16288241	TE_01_003900559
3	72318334	72323442	TE_01_003900560
X	120549157	120563862	TE_01_003900561
X	47560006	47565156	TE_01_003900562
12	569975	592815	TE_01_003900563
14	55102105	55108646	TE_01_003900564
11	12114078	12126693	TE_01_003900565
17	51258519	51262404	TE_01_003900566
9	128065076	128068046	TE_01_003900567
12	52948658	52952759	TE_01_003900568
6	17906889	17908653	TE_01_003900569
6	35720187	35733230	TE_01_003900570
16	30894194	30904205	TE_01_003900571
9	87776534	87810893	TE_01_003900572
13	107882527	107884532	TE_01_003900573
7	150367612	150375027	TE_01_003900574
4	56433517	56437692	TE_01_003900575
12	121738131	121749992	TE_01_003900576
19	40662318	40667698	TE_01_003900577
10	78971649	78975112	TE_01_003900578
6	33317577	33324268	TE_01_003900579
2	87568728	87585441	TE_01_003900580
6	3051205	3069983	TE_01_003900581
1	46509216	46528192	TE_01_003900582
11	18383506	18396984	TE_01_003900583
12	49055698	49061857	TE_01_003900584
1	219902832	219909185	TE_01_003900585
8	628617	632152	TE_01_003900586
16	16017611	16024087	TE_01_003900587
